Data Medicao;EVAPORACAO DO PICHE(mm);INSOLACAO TOTAL(h);PRECIPITACAO TOTAL(mm);TEMPERATURA MAXIMA(°C);TEMPERATURA MEDIA COMPENSADA(°C);TEMPERATURA MINIMA(°C);UMIDADE RELATIVA DO AR MEDIA (%);UMIDADE RELATIVA DO AR MINIMA (%);VENTO VELOCIDADE MEDIA (m/s)
28/04/2000;2,7;9,7;0;27;20;13;72,75;47;0
29/04/2000;2,3;8,3;0;27,6;20,92;14,2;76,75;53;0
30/04/2000;2,4;7,5;0;28,8;21,16;15,4;85,5;54;0
01/05/2000;1,8;6,8;44;29;22,72;19;78;61;0,533333
02/05/2000;2,7;4,9;0;29;21,44;16,4;81,25;59;0,533333
03/05/2000;1,9;8,8;0,8;29,2;21,48;17,4;82,25;50;0
04/05/2000;2,2;9,5;0;29,6;21,8;15,4;81,75;55;0,433333
05/05/2000;2;9,6;0;29,2;21,64;15,4;78,25;48;0
06/05/2000;2,4;9,9;0;30,8;22,48;15;69,5;39;1,533333
07/05/2000;3,3;0;0,5;23,8;19,6;18;93,25;72;1,3
08/05/2000;4,6;0,5;0,3;22,4;19,92;17;87,5;76;0,666667
09/05/2000;1,2;8,1;0,9;25,2;20,08;18;80,75;52;3,4
10/05/2000;3,8;9,9;0;24;17,6;13;65,75;33;1,1
11/05/2000;3,4;6,2;0;22;18,16;13,4;64,5;42;1
12/05/2000;null;3,4;1,2;22;18,6;16;75,5;52;1,3
13/05/2000;2,3;6,2;0;23,2;18,24;14;73,5;51;0
14/05/2000;2,3;4,9;0;24;19,28;15;76,75;56;0
15/05/2000;1,8;6,3;0;25,2;18,4;13;76,75;48;0
16/05/2000;1,8;4,4;0;26,6;19,24;13,6;79,75;52;0
17/05/2000;1,3;8,3;0;30;21,76;15,2;62;35;0
18/05/2000;4,7;10,1;0;25,2;19,64;17;58;36;3,7
19/05/2000;5;6,8;0;23;17,24;12;72,25;51;0
20/05/2000;3,4;4,7;0;22,8;17,76;15,2;74;47;0
21/05/2000;2,8;0;0;19,8;17,08;14,8;70,5;65;0
22/05/2000;1,6;5,5;0;22,2;17,48;12;76;51;0
23/05/2000;2,9;7,7;0;24,2;16,76;11,6;76,5;44;0
24/05/2000;2,1;5,2;0;24;17,44;11;71,25;49;0,866667
25/05/2000;2,2;8,5;0;25;16,72;9,8;72;47;0,433333
26/05/2000;2;9,8;0;28,2;18;9;68,25;36;0,433333
27/05/2000;2,8;7,8;0;27;19,04;12;79;45;0,533333
28/05/2000;2,5;2,7;3;22;18;15;88;73;1,533333
29/05/2000;2;8,9;0;22;15,88;11,4;72,75;47;0,666667
30/05/2000;2,1;6;0;24,8;15,08;7;76;45;0,433333
31/05/2000;1,9;9,2;0;25,6;16,48;9;72,75;37;1,766667
01/06/2000;3,4;0;0;19,2;16,76;14,6;84,25;76;1
02/06/2000;1,4;0,2;0;20,2;17,2;14,8;78,75;61;0,533333
03/06/2000;1,8;5,6;0;23;18,24;15,2;78,5;52;1,533333
04/06/2000;2,6;3;0;22;18,36;16;71,75;55;1,133333
05/06/2000;1,8;9,8;0;23;15,68;10;80,5;48;0
06/06/2000;2;9,8;0;24,8;16,56;9,6;75,25;44;0,5
07/06/2000;2,2;9,7;0;25,2;17,2;9,4;72,25;47;0,533333
08/06/2000;2,2;9,6;0;25,6;16,28;9,4;70,75;37;0
09/06/2000;2,3;8,5;0;26,8;17,8;9,4;70,5;37;0
10/06/2000;2,9;7,3;0;26,6;19,44;13,2;80,5;45;1
11/06/2000;2,2;4,9;0;26;18,52;14,2;78;47;0,433333
12/06/2000;1,8;9;0;26,2;17,04;11;65;44;0,666667
13/06/2000;3;8,7;0;26,4;18,2;10,6;71,75;39;0,866667
14/06/2000;2,9;6,1;0;25,4;18,6;13;78,5;51;0,966667
15/06/2000;1,7;7,8;0,2;25,2;18,16;13;74,75;49;0,433333
16/06/2000;2,5;7,4;0;25,4;16,84;11;72,25;46;0
17/06/2000;2,1;9,3;0;26;17;9,8;67,75;31;0,533333
18/06/2000;2,7;9,1;0;26,8;18,32;11;79;44;0,533333
19/06/2000;2,5;3,5;0;24,8;19,08;15;79,25;55;0
20/06/2000;1,6;6;0;27;19,28;13;73,75;42;0,866667
21/06/2000;2,9;5,6;0;22,4;17,4;14,6;80,75;57;2,533333
22/06/2000;3,1;9,6;0;22,6;14,64;10;57,5;27;0,966667
